Datetime,Open,High,Low,Close,Volume,EMA_9,EMA_21,EMA_50,EMA_cross,MACD,MACD_sig,MACD_hist,MACD_cross,ADX,DI_pos,DI_neg,RSI,RSI_zone,STOCH_k,STOCH_d,ROC,BB_upper,BB_lower,BB_mid,BB_width,BB_pos,ATR,VWAP,VWAP_signal,OBV,Vol_avg,Vol_spike,Body_size,Candle_dir,Pct_from_high,Pct_from_low,Target
2023-12-12 01:30:00,1997.2,1997.8,1996.1,1996.7,2558,1999.8585,2007.0854,2019.7791,-1,-8.0619,-7.7321,-0.3298,-1,54.7855,6.8622,34.2533,29.7398,1,22.0884,23.1593,-0.6023,2022.0141,1991.7259,2006.87,0.0151,0.1642,4.9993,2004.6555,-1,-69403,7217.7,0,0.2941,-1,-6.5434,0.2259,1
2023-12-12 02:30:00,1996.7,1997.8,1996.6,1997.6,1162,1999.4068,2006.2231,2018.9094,-1,-7.7947,-7.7446,-0.0501,-1,55.6308,6.7378,33.6323,31.5729,1,28.6996,24.8276,-0.7157,2020.6648,1991.0652,2005.865,0.0148,0.2208,4.7279,2004.1802,-1,-68241,7065.5,0,0.75,1,-6.5013,0.2711,1
2023-12-12 04:30:00,1997.8,1999.8,1997.3,1998.4,0,1999.2054,2005.5119,2018.1051,-1,-7.4327,-7.6822,0.2495,1,55.528,9.6012,32.3178,33.2403,1,33.3333,28.0404,-0.6117,2019.6789,1990.4611,2005.07,0.0146,0.2717,4.5688,2003.8032,-1,-68241,6830.4,0,0.24,1,-6.4638,0.3112,1
2023-12-12 05:30:00,1998.4,2004.8,1997.8,2000.9,4045,1999.5443,2005.0927,2017.4304,-1,-6.8649,-7.5188,0.6538,1,53.5906,16.1197,28.9105,38.2998,0,45.5399,35.8576,-0.428,2018.7414,1990.2086,2004.475,0.0142,0.3747,4.7425,2003.3841,-1,-64196,6794.8,0,0.3571,1,-6.3468,0.4367,0
2023-12-12 06:30:00,2000.8,2001.4,1998.0,1998.5,4051,1999.3355,2004.4933,2016.688,-1,-6.5333,-7.3217,0.7884,1,51.7916,15.2772,27.3995,35.517,0,34.2723,37.7152,-0.1898,2017.7514,1989.7886,2003.77,0.014,0.3115,4.6466,2003.0326,-1,-68247,6810.45,0,0.6765,-1,-6.4592,0.3162,0
2023-12-12 07:30:00,1998.3,1998.8,1997.0,1997.3,2197,1998.9284,2003.8394,2015.9277,-1,-6.2948,-7.1163,0.8215,1,50.3121,14.8351,28.2142,34.1797,1,28.6385,36.1502,-0.035,2016.2242,1989.5858,2002.905,0.0133,0.2896,4.4432,2002.7136,-1,-70444,6778.3,0,0.5556,-1,-6.5153,0.256,1
2023-12-12 08:30:00,1997.4,2001.4,1997.2,2000.6,3120,1999.2627,2003.5449,2015.3266,-1,-5.7729,-6.8476,1.0747,1,48.052,18.0257,26.3017,40.7828,0,46.5347,36.4818,0.1753,2014.4429,1989.9771,2002.21,0.0122,0.4342,4.4259,2002.413,-1,-67324,6798.8,0,0.7619,1,-6.3609,0.4216,1
2023-12-12 09:30:00,2000.5,2001.6,1999.8,2000.7,1230,1999.5502,2003.2863,2014.753,-1,-5.2903,-6.5362,1.2459,1,45.8873,17.8159,25.5039,40.976,0,50.0,41.7244,0.4267,2013.7348,1989.9152,2001.825,0.0119,0.4528,4.2383,2001.9906,-1,-66094,6521.5,0,0.1111,1,-6.3562,0.4267,1
2023-12-12 10:30:00,2000.8,2003.2,2000.0,2002.8,2575,2000.2001,2003.2421,2014.2843,-1,-4.6843,-6.1658,1.4815,1,43.3489,19.5825,24.1039,45.0325,0,85.2941,60.6096,0.2854,2012.3897,1990.3603,2001.375,0.011,0.5647,4.1641,2001.584,1,-63519,6359.85,0,0.625,1,-6.2579,0.5321,1
2023-12-12 11:30:00,2002.9,2003.6,2002.5,2002.9,2553,2000.7401,2003.211,2013.8378,-1,-4.1482,-5.7623,1.614,1,40.8608,19.9167,23.6239,45.2256,0,86.0294,73.7745,0.2904,2011.5073,1990.6127,2001.06,0.0104,0.5881,3.9453,2001.3113,1,-60966,6258.7,0,0.0,1,-6.2532,0.5371,1
2023-12-12 12:30:00,2002.9,2004.1,2000.6,2003.1,5031,2001.2121,2003.2009,2013.4167,-1,-3.665,-5.3428,1.6778,1,39.0627,18.6444,25.5826,45.6368,0,87.5,86.2745,0.3205,2010.6579,1990.8921,2000.775,0.0099,0.6176,3.9135,2001.1338,1,-55935,6316.45,0,0.0571,1,-6.2439,0.5471,0
2023-12-12 13:30:00,2003.0,2003.3,1998.7,1998.9,4436,2000.7497,2002.8099,2012.8474,-1,-3.5797,-4.9902,1.4105,1,37.862,17.0984,26.8863,39.0129,0,56.6176,76.7157,0.0651,2008.5733,1991.6667,2000.12,0.0085,0.4278,3.9625,2000.6698,-1,-60371,6258.85,0,0.8913,-1,-6.4404,0.3363,1
2023-12-12 14:30:00,1998.8,2001.3,1997.8,2001.1,3750,2000.8197,2002.6544,2012.3868,-1,-3.2965,-4.6515,1.355,1,36.9592,16.0106,26.8117,43.6284,0,57.9545,67.3574,0.1351,2006.5928,1992.6872,1999.64,0.007,0.605,3.9295,2000.1937,1,-56621,6171.1,0,0.6571,1,-6.3375,0.4467,1
2023-12-12 15:30:00,2001.1,2003.3,2000.2,2001.4,3603,2000.9358,2002.5404,2011.9559,-1,-3.0132,-4.3238,1.3106,1,35.3717,18.7857,25.2777,44.248,0,60.9195,58.4972,0.025,2004.6073,1993.8627,1999.235,0.0054,0.7015,3.8702,1999.3487,1,-53018,5760.15,0,0.0968,1,-6.3234,0.4618,1
2023-12-12 16:30:00,2001.4,2003.8,2001.1,2003.8,3727,2001.5086,2002.6549,2011.6361,-1,-2.5654,-3.9721,1.4067,1,33.7167,18.7721,23.9903,49.0708,0,87.8049,68.893,0.2652,2004.8892,1993.7308,1999.31,0.0056,0.9024,3.7866,1998.5485,1,-49291,5088.65,0,0.8889,1,-6.2111,0.5823,0
2023-12-12 17:30:00,2003.7,2004.5,2002.1,2003.5,3973,2001.9069,2002.7317,2011.317,-1,-2.2092,-3.6195,1.4103,1,31.9221,19.2554,22.8751,48.506,0,83.3333,77.3526,0.3104,2005.4154,1993.7546,1999.585,0.0058,0.8357,3.6876,1998.5993,1,-53264,4349.05,0,0.0833,-1,-6.2251,0.5672,0
2023-12-12 18:30:00,2003.5,2012.5,1997.7,1999.7,31358,2001.4655,2002.4561,2010.8614,-1,-2.2082,-3.3373,1.1291,1,31.2289,27.4643,17.4788,41.9232,0,17.4194,62.8525,-0.045,2005.4328,1993.9972,1999.715,0.0057,0.4987,4.4813,2000.0653,-1,-84622,5401.9,1,0.2568,-1,-6.403,0.3765,0
2023-12-12 19:30:00,1999.6,2005.1,1995.2,1997.0,18744,2000.5724,2001.9601,2010.3178,-1,-2.3976,-3.1493,0.7518,1,29.8244,23.4751,18.608,37.9793,0,10.4046,37.0524,-0.1849,2004.7134,1995.1966,1999.955,0.0048,0.1895,4.8684,2000.4676,-1,-103366,5802.2,1,0.2626,-1,-6.5294,0.2409,0
2023-12-12 20:30:00,1997.0,1999.8,1995.6,1996.8,11503,1999.8179,2001.491,2009.7877,-1,-2.5346,-3.0264,0.4918,1,28.5202,22.0142,17.45,37.6964,0,9.2486,12.3575,-0.2996,2004.736,1995.144,1999.94,0.0048,0.1726,4.8206,2000.8023,-1,-114869,5651.15,1,0.0476,-1,-6.5387,0.2309,0
2023-12-12 21:30:00,1996.9,1998.9,1994.3,1996.2,9259,1999.0943,2001.01,2009.2549,-1,-2.6609,-2.9533,0.2924,1,26.9112,20.5088,18.1892,36.8106,0,10.4396,10.0309,-0.3345,2004.8121,1994.9779,1999.895,0.0049,0.1243,4.8049,2000.5659,-1,-124128,5943.75,1,0.1522,-1,-6.5668,0.2008,0
2023-12-12 22:30:00,1996.3,1996.6,1992.3,1992.9,7492,1997.8555,2000.2727,2008.6135,-1,-2.9928,-2.9612,-0.0316,-1,25.1394,19.1879,20.0134,32.313,1,2.9703,7.5528,-0.5092,2005.3422,1994.0678,1999.705,0.0056,-0.1036,4.7688,2000.241,-1,-131620,6190.45,0,0.7907,-1,-6.7213,0.0351,1
2023-12-12 23:30:00,1992.9,1996.0,1992.6,1994.3,8354,1997.1444,1999.7298,2008.0522,-1,-3.107,-2.9904,-0.1167,-1,23.4941,18.1903,18.9729,35.8916,0,9.901,7.7703,-0.2301,2005.5919,1993.4881,1999.54,0.0061,0.0671,4.671,1999.8879,-1,-123266,6550.05,0,0.4118,1,-6.6557,0.1054,1
2023-12-13 00:30:00,1994.3,1996.3,1994.2,1995.6,2704,1996.8355,1999.3543,2007.5639,-1,-3.0574,-3.0038,-0.0537,-1,21.8707,18.0597,18.3387,39.1109,0,16.3366,9.736,-0.2748,2005.6763,1993.1237,1999.4,0.0063,0.1973,4.4874,1999.7965,-1,-120562,6685.25,0,0.619,1,-6.5949,0.1707,0
2023-12-13 01:30:00,1995.6,1995.9,1994.7,1995.1,2153,1996.4884,1998.9676,2007.0751,-1,-3.0236,-3.0077,-0.0159,-1,20.3632,17.6957,17.969,38.314,0,13.8614,13.3663,-0.3148,2005.6141,1992.6059,1999.11,0.0065,0.1917,4.2526,1999.6799,-1,-122715,6590.65,0,0.4167,-1,-6.6183,0.1456,0
2023-12-13 02:30:00,1995.0,1995.5,1994.5,1995.0,1221,1996.1907,1998.6069,2006.6016,-1,-2.9707,-3.0003,0.0297,1,19.0346,17.3813,18.0051,38.1466,0,13.3663,14.5215,-0.4392,2005.6793,1992.1907,1998.935,0.0067,0.2083,4.0203,1999.6475,-1,-123936,6449.15,0,0.0,1,-6.623,0.1405,1
2023-12-13 04:30:00,1995.1,1998.0,1994.9,1997.7,0,1996.4926,1998.5244,2006.2525,-1,-2.6799,-2.9362,0.2563,1,18.4147,20.9237,16.9969,45.1191,0,26.7327,17.9868,-0.2895,2005.6821,1992.2279,1998.955,0.0067,0.4067,3.9545,1999.6813,-1,-123936,6339.3,0,0.8387,1,-6.4966,0.2761,0
2023-12-13 05:30:00,1997.6,1997.6,1994.8,1995.9,1801,1996.3741,1998.2859,2005.8465,-1,-2.5652,-2.862,0.2969,1,17.7988,19.8064,16.2735,41.7409,0,17.8218,19.3069,-0.19,2005.5287,1991.9113,1998.72,0.0068,0.2929,3.8792,1999.6286,-1,-125737,6273.35,0,0.6071,-1,-6.5809,0.1857,0
