Datetime,Open,High,Low,Close,Volume,EMA_9,EMA_21,EMA_50,EMA_cross,MACD,MACD_sig,MACD_hist,MACD_cross,ADX,DI_pos,DI_neg,RSI,RSI_zone,STOCH_k,STOCH_d,ROC,BB_upper,BB_lower,BB_mid,BB_width,BB_pos,ATR,VWAP,VWAP_signal,OBV,Vol_avg,Vol_spike,Body_size,Candle_dir,Pct_from_high,Pct_from_low,Target
2023-06-07 15:15:00,1249.32,1250.0,1247.5,1249.07,634570,1243.2348,1239.9699,1238.673,1,2.4882,0.931,1.5572,1,23.7521,29.8113,12.4512,65.4951,-1,95.1053,95.9731,1.1491,1248.2995,1229.0245,1238.662,0.0156,1.04,4.9727,1239.1096,1,4036951,573944.5,0,0.1,-1,-1.489,7.0986,1
2023-06-08 09:15:00,1252.53,1255.5,1249.25,1252.88,0,1245.1639,1241.1435,1239.2302,1,3.1724,1.3793,1.7931,1,25.6949,34.8526,11.3247,69.2639,-1,89.3061,93.6634,1.5341,1250.7066,1228.6554,1239.681,0.0178,1.0986,5.0768,1239.3749,1,4036951,549789.4,0,0.056,1,-1.1885,7.4253,1
2023-06-08 10:15:00,1253.0,1256.8,1252.1,1255.25,519199,1247.1811,1242.4259,1239.8584,1,3.8614,1.8757,1.9857,1,27.6423,34.3744,10.5719,71.3594,-1,93.9922,92.8012,1.2445,1253.3232,1228.2168,1240.77,0.0202,1.0767,5.0499,1240.5146,1,4556150,542903.85,0,0.4787,1,-1.0016,7.6285,0
2023-06-08 11:15:00,1255.68,1258.25,1246.82,1250.2,1291902,1247.7849,1243.1327,1240.264,1,3.9543,2.2914,1.6629,1,27.7922,29.277,15.8543,61.7054,0,70.0743,84.4576,0.6764,1254.2175,1229.1225,1241.67,0.0202,0.8399,5.5056,1242.1049,1,3264248,582510.35,1,0.4794,-1,-1.3999,7.0542,0
2023-06-08 12:15:00,1250.22,1252.43,1247.7,1249.5,440066,1248.1279,1243.7115,1240.6261,1,3.9262,2.6184,1.3078,1,27.9315,27.4622,14.8715,60.484,0,66.3849,76.8172,0.8784,1255.1161,1229.3789,1242.2475,0.0207,0.7818,5.4502,1242.7819,1,2824182,566242.1,0,0.1522,-1,-1.4551,6.9942,1
2023-06-08 13:15:00,1249.5,1254.0,1248.9,1251.57,644344,1248.8163,1244.4259,1241.0553,1,4.0246,2.8996,1.125,1,28.3104,27.6852,13.8729,62.8274,0,73.8756,70.1116,0.9103,1256.2338,1229.6752,1242.9545,0.0214,0.8244,5.4252,1243.723,1,3468526,544851.1,0,0.4059,1,-1.2918,7.0358,0
2023-06-08 14:15:00,1251.75,1252.18,1245.5,1248.72,932036,1248.7971,1244.8163,1241.3559,1,3.8284,3.0854,0.7431,1,27.673,25.2899,17.0764,57.7495,0,55.8796,65.3801,0.7764,1256.8249,1229.9591,1243.392,0.0216,0.6983,5.5148,1244.3272,1,2536490,565164.5,1,0.4536,-1,-1.5166,6.7921,1
2023-06-08 15:15:00,1248.68,1253.22,1248.57,1249.82,0,1249.0016,1245.2712,1241.6878,1,3.7189,3.2121,0.5068,1,27.2718,25.1118,16.0362,59.1227,0,60.9722,63.5758,0.6475,1257.4927,1230.3383,1243.9155,0.0218,0.7174,5.4531,1244.3272,1,2536490,565164.5,0,0.2452,1,-1.4299,6.8862,0
2023-06-09 09:15:00,1251.0,1254.07,1245.5,1248.12,743074,1248.8253,1245.5302,1241.9401,1,3.4551,3.2607,0.1944,1,26.069,22.4034,18.1703,56.0887,0,53.1019,56.6512,0.3489,1257.5661,1231.6299,1244.598,0.0208,0.6358,5.6757,1244.8634,1,1793416,586448.65,0,0.3361,-1,-1.5639,6.7408,0
2023-06-09 10:15:00,1248.12,1250.47,1246.25,1247.72,176372,1248.6042,1245.7292,1242.1667,1,3.1771,3.244,-0.0669,-1,24.9522,21.1914,17.1873,55.3687,0,51.0233,55.0324,-0.1305,1257.2822,1233.3388,1245.3105,0.0192,0.6006,5.5717,1245.4535,1,1617044,568533.35,0,0.0948,-1,-1.5955,6.7066,1
2023-06-09 11:15:00,1248.25,1252.47,1248.0,1251.85,199708,1249.2534,1246.2857,1242.5465,1,3.2525,3.2457,0.0069,1,24.3445,22.4785,16.1295,60.9434,0,66.7532,56.9595,0.2226,1257.4389,1234.8791,1246.159,0.0181,0.7523,5.513,1245.8575,1,1816752,563454.4,0,0.8054,1,-1.2698,7.0598,0
