Datetime,Open,High,Low,Close,Volume,EMA_9,EMA_21,EMA_50,EMA_cross,MACD,MACD_sig,MACD_hist,MACD_cross,ADX,DI_pos,DI_neg,RSI,RSI_zone,STOCH_k,STOCH_d,ROC,BB_upper,BB_lower,BB_mid,BB_width,BB_pos,ATR,VWAP,VWAP_signal,OBV,Vol_avg,Vol_spike,Body_size,Candle_dir,Pct_from_high,Pct_from_low,Target
2023-06-07 15:15:00,3274.15,3277.25,3274.0,3274.55,163086,3262.633,3267.5058,3281.5038,-1,-8.7722,-13.65,4.8778,1,21.4273,27.1916,25.6577,51.534,0,85.8964,74.438,1.5427,3320.6092,3206.3208,3263.465,0.035,0.597,12.5721,3261.1826,1,7372117,243538.05,0,0.1231,1,-1.986,6.2855,0
2023-06-08 09:15:00,3261.1,3269.15,3245.1,3249.6,0,3260.0264,3265.878,3280.2527,-1,-9.1348,-12.747,3.6122,1,21.5322,23.04,36.7231,40.5177,0,49.8279,70.8696,0.6941,3312.261,3208.059,3260.16,0.032,0.3987,13.7777,3259.3636,-1,7372117,235417.6,0,0.4782,-1,-2.7328,5.4757,0
2023-06-08 10:15:00,3249.6,3259.2,3245.0,3248.1,346474,3257.6411,3264.2618,3278.9918,-1,-9.4345,-12.0845,2.65,1,21.6347,21.3476,34.0772,39.9645,0,47.2461,60.9901,0.4484,3303.5834,3210.3766,3256.98,0.0286,0.4047,13.8079,3257.2712,-1,7025643,245881.4,0,0.1056,-1,-2.7777,5.427,0
2023-06-08 11:15:00,3248.1,3252.0,3238.4,3242.8,232433,3254.6729,3262.3107,3277.5725,-1,-9.9846,-11.6645,1.6799,1,22.0722,19.8441,35.0951,37.9911,0,38.1239,45.066,0.2194,3296.9826,3211.3824,3254.1825,0.0263,0.367,13.793,3253.8468,-1,6793210,242249.35,0,0.3897,-1,-2.9363,5.255,0
2023-06-08 12:15:00,3242.8,3244.0,3235.0,3241.1,218607,3251.9583,3260.3825,3276.1422,-1,-10.4373,-11.4191,0.9817,1,22.6506,18.8957,35.2233,37.3539,0,35.1979,40.1893,-0.4515,3290.1562,3212.7788,3251.4675,0.0238,0.366,13.4507,3250.8892,-1,6574603,240431.8,0,0.1889,-1,-2.9872,5.1998,1
2023-06-08 13:15:00,3240.95,3248.0,3240.8,3242.4,192198,3250.0467,3258.7477,3274.819,-1,-10.5695,-11.2491,0.6797,1,22.8106,20.3455,33.8303,38.2074,0,37.4355,36.9191,-0.2906,3284.3302,3214.0948,3249.2125,0.0216,0.403,13.0042,3246.8969,-1,6766801,228838.2,0,0.2014,1,-2.9483,5.242,0
2023-06-08 14:15:00,3242.0,3244.0,3235.0,3236.1,267127,3247.2573,3256.6888,3273.3006,-1,-11.0551,-11.2103,0.1553,1,23.2787,19.3171,35.3777,35.6711,0,9.3518,27.3284,-0.692,3276.982,3216.163,3246.5725,0.0187,0.3278,12.7182,3246.4265,-1,6499674,242194.55,0,0.6556,-1,-3.1369,5.0375,1
2023-06-08 15:15:00,3236.1,3238.1,3233.05,3236.5,106361,3245.1059,3254.8535,3271.8574,-1,-11.2776,-11.2238,-0.0539,-1,23.8199,18.7446,35.4737,35.9618,0,7.5492,18.1121,-0.8197,3276.5709,3215.2241,3245.8975,0.0189,0.3468,12.1704,3245.0322,-1,6606035,228351.15,0,0.0792,1,-3.1249,5.0505,0
2023-06-09 09:15:00,3243.85,3249.95,3223.0,3223.05,263552,3240.6947,3251.9623,3269.9434,-1,-12.3964,-11.4583,-0.9381,-1,23.188,22.416,30.3106,30.9052,1,0.0897,5.6636,-1.3513,3277.1559,3213.7691,3245.4625,0.0195,0.1464,13.2261,3244.6814,-1,6342483,230200.95,0,0.7718,-1,-3.5275,4.6139,0
2023-06-09 10:15:00,3223.8,3226.0,3209.05,3214.5,322841,3235.4557,3248.5566,3267.7691,-1,-13.8138,-11.9294,-1.8844,-1,23.4111,20.4045,34.976,28.1915,1,7.8192,5.1527,-1.8233,3278.105,3211.99,3245.0475,0.0204,0.038,13.4921,3243.6622,-1,6019642,234584.65,0,0.5487,-1,-3.7834,4.3364,1
2023-06-09 11:15:00,3214.5,3224.0,3214.0,3220.25,220536,3232.4146,3245.9833,3265.9057,-1,-14.3081,-12.4051,-1.903,-1,23.6182,19.304,33.0894,32.4851,1,16.0689,7.9926,-1.6582,3278.4888,3211.1512,3244.82,0.0208,0.1351,13.2427,3243.5194,-1,6240178,232874.0,0,0.575,1,-3.6113,4.523,0
2023-06-09 12:15:00,3220.05,3224.85,3219.0,3219.0,250461,3229.7317,3243.5303,3264.0662,-1,-14.6321,-12.8505,-1.7815,-1,23.7264,19.1471,32.002,32.0366,1,14.2755,12.7212,-0.9417,3279.1109,3209.7091,3244.41,0.0214,0.1339,12.7146,3243.2071,-1,5989717,232084.45,0,0.1795,-1,-3.6487,4.4825,0
2023-06-09 13:15:00,3219.0,3220.0,3213.0,3216.7,276882,3227.1253,3241.0911,3262.2087,-1,-14.9026,-13.2609,-1.6417,-1,24.1812,18.3691,34.1843,31.1836,1,10.9756,13.7733,-0.9667,3280.0547,3207.0753,3243.565,0.0225,0.1319,12.3064,3242.8981,-1,5712835,224420.7,0,0.3286,-1,-3.7176,4.1222,0
2023-06-09 14:15:00,3216.65,3217.0,3208.0,3208.0,286464,3223.3003,3238.0829,3260.0829,-1,-15.6388,-13.7365,-1.9022,-1,24.8838,17.3908,35.3225,28.1322,1,0.0,8.417,-1.0731,3281.7328,3202.6272,3242.18,0.0244,0.0679,12.0703,3241.2725,-1,5426371,227542.0,0,0.9611,-1,-3.978,3.8406,1
2023-06-09 15:15:00,3208.5,3215.0,3205.95,3210.0,154002,3220.6402,3235.5299,3258.1188,-1,-15.8778,-14.1648,-1.713,-1,25.6501,16.4425,34.6316,29.832,1,6.4082,5.7946,-0.9596,3281.2839,3198.4961,3239.89,0.0256,0.139,11.8545,3239.3235,-1,5580373,217831.95,0,0.1657,1,-3.9181,3.9054,1
2023-06-12 09:15:00,3215.0,3237.3,3212.45,3228.95,0,3222.3022,3234.9317,3256.975,-1,-14.3724,-14.2063,-0.1661,-1,24.2233,26.2607,29.4199,43.4741,0,43.1925,16.5336,-0.4148,3280.019,3197.471,3238.745,0.0255,0.3813,12.9578,3239.0053,-1,5580373,212552.95,0,0.5614,1,-3.3509,4.5001,1
2023-06-12 10:15:00,3228.95,3238.5,3225.15,3236.65,561501,3225.1717,3235.0879,3256.1779,-1,-12.4149,-13.848,1.4331,1,22.8029,24.9924,27.2595,47.906,0,66.6667,38.7558,0.017,3277.8984,3197.3916,3237.645,0.0249,0.4876,12.9858,3237.2541,-1,6141874,225739.4,1,0.5768,1,-3.1204,4.7493,1
2023-06-12 11:15:00,3236.55,3249.45,3236.3,3245.0,435103,3229.1374,3235.989,3255.7396,-1,-10.0737,-13.0931,3.0194,1,21.6872,29.2039,25.2896,52.2759,0,88.75,66.2031,0.2626,3275.4198,3198.0452,3236.7325,0.0239,0.6069,12.9975,3237.2126,1,6576977,241638.9,1,0.6426,1,-2.8705,5.0196,0
2023-06-12 12:15:00,3245.0,3248.5,3238.0,3244.65,190831,3232.2399,3236.7764,3255.3047,-1,-8.1526,-12.105,3.9525,1,20.6512,27.4953,23.81,52.0787,0,87.9545,81.1237,0.6702,3271.9162,3199.2938,3235.605,0.0224,0.6245,12.8191,3236.5128,1,6386146,243142.2,0,0.0333,-1,-2.881,4.9369,1
