Datetime,Open,High,Low,Close,Volume,EMA_9,EMA_21,EMA_50,EMA_cross,MACD,MACD_sig,MACD_hist,MACD_cross,ADX,DI_pos,DI_neg,RSI,RSI_zone,STOCH_k,STOCH_d,ROC,BB_upper,BB_lower,BB_mid,BB_width,BB_pos,ATR,VWAP,VWAP_signal,OBV,Vol_avg,Vol_spike,Body_size,Candle_dir,Pct_from_high,Pct_from_low,Target
2026-03-19 13:26:00,810.05,810.2,809.75,809.75,164437,811.012,811.8562,812.329,-1,-0.7654,-0.5152,-0.2502,-1,40.4723,7.7426,38.1656,28.1812,1,0.0,1.4925,-0.2648,814.2759,809.8391,812.0575,0.0055,-0.0201,0.767,811.9082,-1,9739751,260400.85,0,0.6667,-1,-0.6929,1.447,0
2026-03-19 13:27:00,809.95,810.0,809.05,809.4,194930,810.6896,811.6329,812.2141,-1,-0.8595,-0.5841,-0.2754,-1,42.6345,7.0691,41.2551,26.4529,1,9.7222,4.7333,-0.3447,814.1675,809.4975,811.8325,0.0058,-0.0209,0.7801,811.7788,-1,9544821,264973.0,0,0.5789,-1,-0.7358,1.4032,0
2026-03-19 13:28:00,809.4,809.85,809.15,809.15,189834,810.3817,811.4072,812.0939,-1,-0.9434,-0.6559,-0.2874,-1,44.6422,6.6127,38.5914,25.2611,1,2.7778,4.1667,-0.351,814.0628,809.1522,811.6075,0.0061,-0.0005,0.7744,811.6304,-1,9354987,265765.5,0,0.3571,-1,-0.7665,1.3718,1
2026-03-19 13:29:00,809.15,809.55,809.1,809.3,198347,810.1653,811.2156,811.9844,-1,-0.9863,-0.722,-0.2643,-1,46.5293,6.3297,37.4156,27.3752,1,6.9444,6.4815,-0.3816,813.8175,808.9475,811.3825,0.006,0.0724,0.7512,811.5123,-1,9553334,271365.5,0,0.3333,1,-0.7481,1.3906,1
2026-03-19 13:30:00,809.4,810.0,809.1,809.8,225326,810.0923,811.0869,811.8987,-1,-0.9689,-0.7714,-0.1975,-1,47.1172,10.0147,34.2584,34.0699,1,20.8333,10.1852,-0.3323,813.8035,808.7615,811.2825,0.0062,0.206,0.7618,811.3316,-1,9778660,260225.65,0,0.4444,1,-0.6868,1.4533,1
2026-03-19 13:31:00,810.0,810.4,809.85,810.4,198619,810.1538,811.0245,811.8399,-1,-0.8963,-0.7964,-0.0999,-1,46.7389,13.2508,32.3015,41.0879,0,37.5,21.7593,-0.154,813.5404,808.7496,811.145,0.0059,0.3445,0.7503,811.1645,-1,9977279,249326.65,0,0.7273,1,-0.6132,1.5284,0
2026-03-19 13:32:00,810.35,810.4,809.7,809.8,145136,810.083,810.9132,811.7599,-1,-0.8771,-0.8125,-0.0646,-1,46.5234,12.3635,31.5734,36.8622,0,20.8333,26.3889,-0.2095,813.3321,808.6579,810.995,0.0058,0.2443,0.7467,811.0121,-1,9832143,239573.6,0,0.7857,-1,-0.6868,1.4533,1
2026-03-19 13:33:00,809.75,809.9,809.3,809.9,132898,810.0464,810.8211,811.687,-1,-0.844,-0.8188,-0.0252,-1,46.668,11.6437,33.6163,38.0066,0,23.9437,27.4257,-0.1972,813.1412,808.5888,810.865,0.0056,0.288,0.7362,810.8657,-1,9965041,230905.55,0,0.25,1,-0.6745,1.4658,0
2026-03-19 13:34:00,809.9,809.9,809.5,809.5,101712,809.9371,810.701,811.6012,-1,-0.8405,-0.8231,-0.0173,-1,46.8022,11.1766,32.2677,35.2541,0,12.8571,19.2114,-0.0864,813.0578,808.4422,810.75,0.0057,0.2292,0.7122,810.7376,-1,9863329,214121.25,0,1.0,-1,-0.7236,1.4157,0
2026-03-19 13:35:00,809.5,809.5,809.3,809.5,95442,809.8497,810.5918,811.5188,-1,-0.8281,-0.8241,-0.0039,-1,47.1009,10.9403,33.6999,35.2541,0,15.5172,17.4393,-0.0802,812.9192,808.3308,810.625,0.0057,0.2548,0.6756,810.6532,-1,9958771,208350.2,0,0.0,1,-0.7236,1.4157,1
