Datetime,Open,High,Low,Close,Volume,EMA_9,EMA_21,EMA_50,EMA_cross,MACD,MACD_sig,MACD_hist,MACD_cross,ADX,DI_pos,DI_neg,RSI,RSI_zone,STOCH_k,STOCH_d,ROC,BB_upper,BB_lower,BB_mid,BB_width,BB_pos,ATR,VWAP,VWAP_signal,OBV,Vol_avg,Vol_spike,Body_size,Candle_dir,Pct_from_high,Pct_from_low,Target
2026-03-23 13:41:00,4233.5,4250.0,4226.1,4248.7,511,4234.0567,4222.4027,4206.2302,1,12.6024,11.4577,1.1446,1,25.7482,26.8888,13.9411,65.2843,-1,97.893,87.3591,0.735,4253.2347,4183.8953,4218.565,0.0164,0.9346,14.574,4220.3627,1,-5424,483.3,0,0.636,1,-3.0442,3.5157,1
2026-03-23 13:42:00,4249.1,4251.4,4246.2,4250.6,491,4237.3654,4224.9661,4207.9702,1,13.2456,11.8153,1.4302,1,26.2609,26.8897,13.5687,65.9178,-1,98.5294,92.3654,0.6035,4257.3895,4184.7005,4221.045,0.0172,0.9066,13.9044,4222.4657,1,-4933,486.15,0,0.2885,1,-3.0008,3.562,0
2026-03-23 13:43:00,4248.8,4251.3,4244.7,4249.5,261,4239.7923,4227.1964,4209.5988,1,13.5108,12.1544,1.3564,1,26.5461,25.9425,13.8913,65.1762,-1,96.0251,97.4825,0.4562,4259.6733,4188.1967,4223.935,0.0169,0.8577,13.3827,4225.1873,1,-5194,464.45,0,0.1061,1,-3.0259,3.5352,1
2026-03-23 13:44:00,4249.5,4257.9,4249.5,4255.7,357,4242.9738,4229.7877,4211.4067,1,14.0592,12.5354,1.5238,1,27.2441,28.3665,13.2515,67.4022,-1,95.4918,96.6821,0.7719,4263.2362,4190.2038,4226.72,0.0173,0.8968,13.0268,4227.327,1,-4837,464.95,0,0.7381,1,-2.8845,3.6863,0
2026-03-23 13:45:00,4255.7,4258.6,4250.3,4254.3,503,4245.2391,4232.0161,4213.0888,1,14.217,12.8717,1.3453,1,27.937,27.4352,12.6324,66.3705,-1,91.3131,94.2767,0.8009,4265.1852,4194.0748,4229.63,0.0168,0.8469,12.6891,4229.5052,1,-5340,478.35,0,0.1687,-1,-2.9164,3.6522,0
2026-03-23 13:46:00,4252.9,4252.9,4235.2,4235.2,447,4243.2313,4232.3055,4213.9559,1,12.6549,12.8283,-0.1734,-1,26.7613,24.5882,19.5254,54.1852,0,46.2069,77.6706,-0.0991,4264.373,4198.347,4231.36,0.0156,0.5582,13.1471,4231.0903,1,-5787,483.85,0,1.0,-1,-3.3523,3.1868,0
2026-03-23 13:47:00,4235.1,4235.7,4223.0,4223.7,447,4239.325,4231.5232,4214.338,1,10.3695,12.3366,-1.9671,-1,25.139,22.8875,24.8193,48.4209,0,19.7701,52.43,-0.2409,4262.3793,4202.8007,4232.59,0.0141,0.3508,13.1151,4231.4681,-1,-6234,497.4,0,0.8976,-1,-3.6147,2.9066,0
2026-03-23 13:48:00,4224.8,4229.3,4218.2,4222.1,326,4235.88,4230.6665,4214.6424,1,8.3331,11.5359,-3.2028,-1,24.0145,21.4885,25.9455,47.6612,0,16.092,27.3563,-0.4574,4259.9614,4207.4486,4233.705,0.0124,0.279,12.9712,4232.0385,-1,-6560,501.55,0,0.2432,-1,-3.6512,2.8677,1
2026-03-23 13:49:00,4222.2,4224.9,4214.2,4223.1,330,4233.324,4229.9787,4214.9741,1,6.7225,10.5732,-3.8507,-1,23.2786,20.2063,26.6279,48.2081,0,20.045,18.6357,-0.2904,4258.0698,4211.0802,4234.575,0.0111,0.2558,12.809,4232.3133,-1,-6230,506.7,0,0.0841,1,-3.6284,2.892,0
2026-03-23 13:50:00,4222.2,4228.4,4212.3,4215.0,322,4229.6592,4228.617,4214.9751,1,4.7378,9.4061,-4.6683,-1,22.2463,20.3415,24.2803,44.1808,0,5.8315,13.9895,-0.444,4258.7908,4209.0592,4233.925,0.0117,0.1195,13.044,4232.7778,-1,-6552,485.7,0,0.4472,-1,-3.8132,2.6947,1
