Datetime,Open,High,Low,Close,Volume,EMA_9,EMA_21,EMA_50,EMA_cross,MACD,MACD_sig,MACD_hist,MACD_cross,ADX,DI_pos,DI_neg,RSI,RSI_zone,STOCH_k,STOCH_d,ROC,BB_upper,BB_lower,BB_mid,BB_width,BB_pos,ATR,VWAP,VWAP_signal,OBV,Vol_avg,Vol_spike,Body_size,Candle_dir,Pct_from_high,Pct_from_low,Target
2026-03-19 13:26:00,1395.0,1395.9,1394.9,1395.4,16339,1395.7626,1396.8125,1398.0949,-1,-1.0458,-0.861,-0.1847,-1,30.3618,11.63,22.6052,36.5326,0,31.7073,16.495,-0.1288,1399.4449,1394.3451,1396.895,0.0037,0.2068,1.1838,1396.6484,-1,-86313,24339.3,0,0.4,1,-1.4061,0.0933,0
2026-03-19 13:27:00,1395.4,1395.6,1394.9,1395.3,10426,1395.6701,1396.675,1397.9852,-1,-1.0298,-0.8948,-0.135,-1,30.483,11.1241,21.6218,35.9852,0,35.2941,28.2597,-0.1288,1399.2024,1394.2376,1396.72,0.0036,0.214,1.1493,1396.5774,-1,-96739,24398.35,0,0.1429,-1,-1.4131,0.0861,0
2026-03-19 13:28:00,1395.2,1395.5,1394.6,1394.6,45451,1395.4561,1396.4864,1397.8525,-1,-1.0614,-0.9281,-0.1333,-1,30.8759,10.492,22.2872,32.3325,1,14.7059,27.2358,-0.1718,1399.1534,1393.9666,1396.56,0.0037,0.1221,1.1315,1396.3361,-1,-142190,25263.15,1,0.6667,-1,-1.4626,0.0359,1
2026-03-19 13:29:00,1394.6,1395.1,1394.2,1394.9,29810,1395.3449,1396.3422,1397.7367,-1,-1.0501,-0.9525,-0.0976,-1,31.591,9.8871,23.5648,35.3607,0,23.5294,24.5098,-0.1432,1398.8391,1393.8909,1396.365,0.0035,0.2039,1.1149,1396.1852,-1,-112380,26071.15,0,0.3333,1,-1.4414,0.0574,1
2026-03-19 13:30:00,1395.3,1396.0,1394.5,1395.6,13899,1395.3959,1396.2747,1397.6529,-1,-0.9735,-0.9567,-0.0168,-1,30.6795,14.5869,21.3547,41.8949,0,44.1176,27.451,-0.1002,1398.534,1393.916,1396.225,0.0033,0.3647,1.1424,1396.0886,-1,-98481,26056.75,0,0.2,1,-1.3919,0.1076,0
2026-03-19 13:31:00,1395.5,1396.0,1395.0,1395.1,9604,1395.3367,1396.1679,1397.5528,-1,-0.9422,-0.9538,0.0116,1,29.8331,13.6667,20.0076,38.8722,0,32.2581,33.3017,-0.0931,1398.1318,1393.9682,1396.05,0.003,0.2718,1.1323,1396.0033,-1,-108085,25768.8,0,0.4,-1,-1.4273,0.0717,0
2026-03-19 13:32:00,1395.1,1395.1,1394.2,1395.0,16687,1395.2694,1396.0617,1397.4527,-1,-0.915,-0.946,0.0311,1,29.8529,12.8792,23.9766,38.2774,0,29.0323,35.136,-0.1074,1397.8246,1393.9754,1395.9,0.0028,0.2662,1.1157,1395.913,-1,-124772,25913.65,0,0.1111,-1,-1.4343,0.0646,1
2026-03-19 13:33:00,1395.0,1395.8,1394.9,1395.5,12735,1395.3155,1396.0107,1397.3761,-1,-0.8433,-0.9255,0.0822,1,28.7952,16.671,22.5757,42.9759,0,48.2759,36.5221,0.0287,1397.7615,1393.9385,1395.85,0.0027,0.4085,1.1003,1395.693,-1,-112037,22536.85,0,0.5556,1,-1.399,0.1004,0
2026-03-19 13:34:00,1395.9,1396.1,1394.9,1395.5,13246,1395.3524,1395.9642,1397.3025,-1,-0.7775,-0.8959,0.1184,1,27.3962,17.3157,20.8283,42.9759,0,48.2759,41.8613,0.1004,1397.6661,1393.9139,1395.79,0.0027,0.4227,1.1074,1395.6494,-1,-98791,22022.6,0,0.3333,-1,-1.399,0.1004,1
2026-03-19 13:35:00,1395.5,1396.0,1395.5,1395.9,12587,1395.4619,1395.9584,1397.2475,-1,-0.6852,-0.8538,0.1685,1,26.0971,16.7345,20.1292,46.7377,0,62.069,52.8736,0.0717,1397.5803,1393.9197,1395.75,0.0026,0.541,1.064,1395.5948,1,-86204,21281.2,0,0.8,1,-1.3707,0.1291,0
