Datetime,Open,High,Low,Close,Volume,EMA_9,EMA_21,EMA_50,EMA_cross,MACD,MACD_sig,MACD_hist,MACD_cross,ADX,DI_pos,DI_neg,RSI,RSI_zone,STOCH_k,STOCH_d,ROC,BB_upper,BB_lower,BB_mid,BB_width,BB_pos,ATR,VWAP,VWAP_signal,OBV,Vol_avg,Vol_spike,Body_size,Candle_dir,Pct_from_high,Pct_from_low,Target
2026-01-21 07:55:00,93.58,93.7,93.49,93.68,224,93.9532,94.2558,94.419,-1,-0.2635,-0.1652,-0.0983,-1,30.0405,9.2637,26.8134,37.0086,0,19.3103,11.3574,-0.4886,95.4008,93.3852,94.393,0.0214,0.1463,0.3703,94.456,-1,-1734,477.05,0,0.4762,1,-2.0084,0.883,1
2026-01-21 08:00:00,93.66,94.2,93.54,94.1,609,93.9825,94.2417,94.4065,-1,-0.2403,-0.1802,-0.0601,-1,28.9961,17.2805,23.5807,46.0951,0,50.3597,26.5567,-0.2438,95.2672,93.4028,94.335,0.0198,0.374,0.391,94.4089,-1,-1125,497.2,0,0.6667,1,-1.569,1.3353,0
2026-01-21 08:05:00,94.1,94.26,93.84,93.84,253,93.954,94.2051,94.3843,-1,-0.2402,-0.1922,-0.048,-1,27.7948,17.0519,21.781,42.0512,0,33.0827,34.2509,-0.5511,95.1165,93.4115,94.264,0.0181,0.2513,0.3931,94.3439,-1,-1378,481.65,0,0.619,-1,-1.841,1.0554,0
2026-01-21 08:10:00,93.86,94.15,93.75,93.78,368,93.9192,94.1665,94.3606,-1,-0.2421,-0.2022,-0.0399,-1,26.9515,15.8141,21.8332,41.1539,0,30.1587,37.867,-0.9296,95.026,93.387,94.2065,0.0174,0.2398,0.3936,94.2437,-1,-1746,442.2,0,0.2,-1,-1.9038,0.9907,0
2026-01-21 08:15:00,93.81,93.87,93.58,93.75,371,93.8854,94.1286,94.3366,-1,-0.2433,-0.2104,-0.0329,-1,26.6551,14.9658,23.8065,40.6865,0,27.7778,30.3397,-0.5727,94.9687,93.3493,94.159,0.0172,0.2474,0.3862,94.1794,-1,-2117,425.85,0,0.2069,-1,-1.9351,0.9584,1
2026-01-21 08:20:00,93.78,93.96,93.72,93.81,294,93.8703,94.0997,94.316,-1,-0.2366,-0.2157,-0.021,-1,25.9921,15.9939,22.7203,42.1029,0,32.5397,30.1587,-0.2021,94.8206,93.3774,94.099,0.0153,0.2998,0.3757,94.1264,-1,-1823,418.0,0,0.125,1,-1.8724,1.023,1
2026-01-21 08:25:00,93.81,94.16,93.75,94.05,374,93.9062,94.0952,94.3056,-1,-0.2096,-0.2144,0.0049,1,24.5747,18.5328,20.9609,47.5033,0,51.5873,37.3016,0.2452,94.7102,93.4138,94.062,0.0138,0.4907,0.3782,94.0865,-1,-1449,418.0,0,0.5854,1,-1.6213,0.8471,1
2026-01-21 08:30:00,94.05,94.35,94.05,94.18,342,93.961,94.1029,94.3006,-1,-0.1756,-0.2067,0.0311,1,23.056,21.1093,19.7555,50.2123,0,62.4,48.8423,0.1595,94.639,93.441,94.04,0.0127,0.6169,0.3726,94.058,1,-1107,409.5,0,0.4333,1,-1.4854,0.9865,0
2026-01-21 08:35:00,94.18,94.2,93.92,93.96,278,93.9608,94.0899,94.2873,-1,-0.1646,-0.1983,0.0337,1,21.6273,19.9558,21.213,45.896,0,52.3364,55.4413,0.1813,94.5265,93.4815,94.004,0.0111,0.4579,0.366,94.0303,-1,-1385,404.35,0,0.7857,-1,-1.7155,0.7506,0
2026-01-21 08:40:00,93.97,94.03,93.53,93.57,498,93.8826,94.0426,94.2591,-1,-0.1851,-0.1956,0.0105,1,21.4505,18.0581,26.6132,39.4259,0,17.8947,44.2104,0.0,94.5409,93.4301,93.9855,0.0118,0.1259,0.3756,93.9879,-1,-1883,374.1,0,0.8,-1,-2.1234,0.3324,1
