Datetime,Open,High,Low,Close,Volume
2023-05-05 09:15:00,825.0,830.35,815.0,825.0,0
2023-05-05 10:15:00,825.0,825.7,816.28,819.83,3505873
2023-05-05 11:15:00,819.55,820.85,817.0,818.47,2759771
2023-05-05 12:15:00,818.65,820.25,816.9,819.15,2975576
2023-05-05 13:15:00,819.17,819.88,814.5,817.3,3770636
2023-05-05 14:15:00,817.3,817.42,811.2,813.12,5272737
2023-05-05 15:15:00,813.25,813.97,811.5,813.5,1437091
2023-05-08 09:15:00,817.4,823.88,815.28,821.88,0
2023-05-08 10:15:00,821.58,824.35,821.03,823.62,2857297
2023-05-08 11:15:00,823.55,824.4,821.6,823.4,2766944
2023-05-08 12:15:00,823.4,824.7,822.22,823.4,2162247
2023-05-08 13:15:00,823.38,825.0,822.05,823.25,3028149
2023-05-08 14:15:00,823.17,825.15,820.47,822.25,4008434
2023-05-08 15:15:00,822.2,823.83,820.78,823.3,502666
2023-05-09 09:15:00,825.4,827.0,823.28,825.5,3187434
2023-05-09 10:15:00,825.5,826.75,823.97,825.92,2650534
2023-05-09 11:15:00,825.6,827.97,824.83,826.25,2544728
2023-05-09 12:15:00,826.25,827.5,824.83,826.0,2384648
2023-05-09 13:15:00,826.03,827.0,822.0,823.15,3766182
2023-05-09 14:15:00,823.05,825.4,820.67,822.05,6432036
2023-05-09 15:15:00,822.2,822.2,820.0,821.5,875094
2023-05-10 09:15:00,822.0,824.35,816.55,817.47,4798691
2023-05-10 10:15:00,817.35,822.7,817.0,820.5,3687494
2023-05-10 11:15:00,820.58,824.15,818.55,822.67,4285896
2023-05-10 12:15:00,822.67,825.5,821.67,825.47,2451250
2023-05-10 13:15:00,825.5,826.45,821.65,825.9,3406429
2023-05-10 14:15:00,825.95,827.33,823.15,825.97,3509945
2023-05-10 15:15:00,825.95,826.83,824.55,826.15,1029562
2023-05-11 09:15:00,833.0,833.47,825.6,828.0,0
2023-05-11 10:15:00,828.25,830.0,826.05,827.55,3181944
2023-05-11 11:15:00,827.5,827.85,824.67,825.2,2061455
2023-05-11 12:15:00,825.17,829.5,825.17,828.25,2354635
2023-05-11 13:15:00,828.28,830.0,826.88,827.83,2279717
2023-05-11 14:15:00,827.85,830.85,825.75,826.3,4254942
2023-05-11 15:15:00,826.22,827.78,825.78,827.47,575985
2023-05-12 09:15:00,824.62,828.42,822.17,827.97,2064417
2023-05-12 10:15:00,827.97,831.85,827.55,830.35,974589
2023-05-12 11:15:00,830.08,831.12,828.7,830.12,892110
2023-05-12 12:15:00,830.12,832.35,829.2,831.2,1322049
2023-05-12 13:15:00,831.2,835.35,831.0,833.75,3093130
2023-05-12 14:15:00,833.75,836.33,833.3,834.15,2454722
2023-05-12 15:15:00,834.2,834.4,832.58,833.9,0
2023-05-15 09:15:00,834.33,839.62,832.55,838.47,0
2023-05-15 10:15:00,838.3,839.85,836.2,839.35,1934365
2023-05-15 11:15:00,839.3,839.92,838.5,838.58,989646
2023-05-15 12:15:00,838.58,839.1,837.2,838.42,1245912
2023-05-15 13:15:00,838.4,840.35,837.25,840.0,1088494
2023-05-15 14:15:00,840.0,840.38,836.88,838.1,1548557
2023-05-15 15:15:00,838.2,839.0,837.4,837.9,0
2023-05-16 09:15:00,832.83,833.17,826.6,830.5,3348924
2023-05-16 10:15:00,830.58,830.6,827.12,828.8,2284815
2023-05-16 11:15:00,828.83,829.75,826.83,827.67,2452363
2023-05-16 12:15:00,827.72,828.47,825.55,826.97,2048875
2023-05-16 13:15:00,826.97,827.47,824.78,825.42,2541323
2023-05-16 14:15:00,825.4,826.42,822.58,823.4,2733479
2023-05-16 15:15:00,823.6,824.55,822.0,823.0,950749
2023-05-17 09:15:00,824.5,824.88,819.75,823.5,2945642
2023-05-17 10:15:00,823.28,823.78,820.15,822.7,2792554
2023-05-17 11:15:00,822.7,823.2,818.8,819.5,2035369
2023-05-17 12:15:00,819.5,819.5,815.15,815.15,1926192
2023-05-17 13:15:00,815.12,817.35,812.75,814.95,2685774
2023-05-17 14:15:00,814.95,819.9,813.9,819.28,2281831
2023-05-17 15:15:00,819.2,820.95,819.08,820.42,565033
2023-05-18 09:15:00,823.72,826.92,821.22,823.38,0
2023-05-18 10:15:00,823.38,824.3,820.9,823.9,2661740
2023-05-18 11:15:00,823.88,824.8,821.72,824.05,3471261
2023-05-18 12:15:00,824.05,824.85,820.78,821.58,4206993
2023-05-18 13:15:00,821.58,824.22,821.3,823.12,3496708
2023-05-18 14:15:00,823.12,824.92,820.0,823.4,6831680
2023-05-18 15:15:00,823.53,824.35,821.97,822.5,1041136
2023-05-19 09:15:00,824.0,824.38,817.62,818.3,0
2023-05-19 10:15:00,818.15,818.97,815.83,818.25,1426268
2023-05-19 11:15:00,818.25,821.3,817.3,819.97,2564410
2023-05-19 12:15:00,819.9,821.42,818.85,821.22,1660476
2023-05-19 13:15:00,821.22,822.67,818.85,821.7,3264785
2023-05-19 14:15:00,821.7,824.88,821.12,823.5,2667128
2023-05-19 15:15:00,823.53,825.0,822.55,823.25,349724
2023-05-22 09:15:00,822.33,826.42,820.35,822.72,0
2023-05-22 10:15:00,822.72,823.9,820.12,821.17,2929567
2023-05-22 11:15:00,821.2,821.92,819.0,820.47,1454854
2023-05-22 12:15:00,820.47,821.35,818.62,819.95,1475770
2023-05-22 13:15:00,820.0,820.42,816.35,820.25,1905648
2023-05-22 14:15:00,820.4,822.08,817.12,819.33,3183123
2023-05-22 15:15:00,819.42,821.9,818.8,819.3,530267
2023-05-23 09:15:00,823.05,823.5,820.47,820.75,0
2023-05-23 10:15:00,820.88,823.47,820.0,823.33,1221171
2023-05-23 11:15:00,823.35,823.47,820.03,820.75,1750830
2023-05-23 12:15:00,820.75,821.4,818.9,819.25,1550351
2023-05-23 13:15:00,819.22,820.92,818.53,820.35,1545456
2023-05-23 14:15:00,820.42,821.0,818.15,818.72,2051033
2023-05-23 15:15:00,818.75,819.1,817.15,818.6,0
2023-05-24 09:15:00,814.42,816.7,812.22,814.5,2484623
2023-05-24 10:15:00,814.6,817.1,813.25,815.25,1905628
2023-05-24 11:15:00,815.1,817.38,813.83,813.88,2629664
2023-05-24 12:15:00,813.92,814.35,811.08,811.1,3073473
2023-05-24 13:15:00,811.22,811.88,808.67,809.7,2212616
2023-05-24 14:15:00,809.8,810.9,806.85,808.3,3383472
2023-05-24 15:15:00,808.3,808.45,807.22,807.5,1100334
2023-05-25 09:15:00,807.85,809.92,803.33,804.1,0
2023-05-25 10:15:00,804.05,804.75,802.03,803.12,1567830
2023-05-25 11:15:00,803.12,803.53,800.15,801.8,1293144
2023-05-25 12:15:00,801.8,803.45,800.0,800.5,1931252
2023-05-25 13:15:00,800.5,801.9,798.67,801.5,2100424
2023-05-25 14:15:00,801.45,806.0,800.5,805.12,4402108
2023-05-25 15:15:00,805.12,806.25,804.45,804.8,0
2023-05-26 09:15:00,807.03,807.85,801.12,803.55,2019007
2023-05-26 10:15:00,803.28,804.22,801.53,802.8,1448887
2023-05-26 11:15:00,802.78,804.2,801.65,803.38,1371719
2023-05-26 12:15:00,803.38,805.7,803.17,804.67,1777141
2023-05-26 13:15:00,804.38,809.1,804.33,808.85,2278986
2023-05-26 14:15:00,808.85,809.45,806.88,808.4,3631492
2023-05-26 15:15:00,808.4,808.5,806.88,808.5,789999
2023-05-29 09:15:00,814.3,819.83,812.5,818.03,0
2023-05-29 10:15:00,818.2,820.5,818.05,819.88,886939
2023-05-29 11:15:00,819.75,820.5,818.1,818.78,1855483
2023-05-29 12:15:00,818.78,819.38,817.83,818.5,1587805
2023-05-29 13:15:00,818.5,819.9,818.5,819.08,1033120
2023-05-29 14:15:00,819.1,819.33,815.25,818.45,2129353
2023-05-29 15:15:00,818.1,818.1,815.0,817.75,459532
2023-05-30 09:15:00,816.67,819.08,815.38,817.72,0
2023-05-30 10:15:00,817.7,819.0,814.9,816.83,3444092
2023-05-30 11:15:00,816.83,818.8,816.45,817.12,2008264
2023-05-30 12:15:00,817.1,818.08,815.92,816.05,3233222
2023-05-30 13:15:00,815.97,816.9,814.28,816.8,3215582
2023-05-30 14:15:00,816.78,820.85,814.55,819.05,3416439
2023-05-30 15:15:00,819.1,821.33,818.38,818.38,850777
2023-05-31 09:15:00,815.95,817.47,809.7,810.35,0
2023-05-31 10:15:00,810.55,810.78,806.8,808.75,3424422
2023-05-31 11:15:00,808.75,809.33,804.92,806.95,2855857
2023-05-31 12:15:00,806.85,808.03,803.85,804.05,2777048
2023-05-31 13:15:00,804.0,806.4,802.33,803.25,4611763
2023-05-31 14:15:00,803.6,806.12,802.88,805.1,3998443
2023-05-31 15:15:00,805.28,806.5,805.0,805.72,1148177
2023-06-01 09:15:00,809.9,809.9,805.6,807.38,0
2023-06-01 10:15:00,807.38,809.58,806.5,807.65,3842385
2023-06-01 11:15:00,807.65,808.4,805.92,805.92,2811446
2023-06-01 12:15:00,807.4,807.5,804.55,805.1,3740244
2023-06-01 13:15:00,805.03,807.97,805.0,805.1,3330296
2023-06-01 14:15:00,805.12,806.5,802.08,802.08,5802499
2023-06-01 15:15:00,802.42,802.42,800.42,800.5,2240003
2023-06-02 09:15:00,806.53,807.38,801.53,802.45,2270738
2023-06-02 10:15:00,802.33,804.33,802.0,804.2,802476
2023-06-02 11:15:00,804.17,805.25,803.12,804.65,1060680
2023-06-02 12:15:00,804.8,805.4,803.2,804.85,819920
2023-06-02 13:15:00,804.75,806.45,803.17,803.5,1197656
2023-06-02 14:15:00,803.5,804.7,800.53,803.28,2185261
2023-06-02 15:15:00,803.28,803.6,801.83,802.53,589974
2023-06-05 09:15:00,806.6,808.22,805.3,806.6,0
2023-06-05 10:15:00,806.6,807.38,805.5,807.15,2170153
2023-06-05 11:15:00,807.15,807.72,804.3,805.5,1299320
2023-06-05 12:15:00,805.5,805.92,803.53,803.95,664685
2023-06-05 13:15:00,803.9,805.0,802.97,803.58,1176621
2023-06-05 14:15:00,803.58,804.25,801.25,802.42,1422728
2023-06-05 15:15:00,802.4,803.17,801.62,802.03,574248
2023-06-06 09:15:00,803.83,804.0,800.6,800.95,1668605
2023-06-06 10:15:00,800.88,801.7,798.78,799.33,2668134
2023-06-06 11:15:00,799.33,799.9,798.3,798.53,1504345
2023-06-06 12:15:00,798.53,798.78,796.15,798.3,3764599
2023-06-06 13:15:00,798.38,799.2,796.8,797.5,1923890
2023-06-06 14:15:00,797.5,801.4,796.85,800.75,3807203
2023-06-06 15:15:00,800.78,802.7,800.6,802.42,752787
2023-06-07 09:15:00,801.95,803.2,800.75,801.53,1577862
2023-06-07 10:15:00,801.5,802.42,799.75,800.6,1622238
2023-06-07 11:15:00,800.6,801.17,798.2,799.17,2652903
2023-06-07 12:15:00,799.35,801.2,798.62,801.05,1681144
2023-06-07 13:15:00,801.05,801.65,799.53,800.5,1602392
2023-06-07 14:15:00,800.5,803.92,800.17,803.75,2532775
2023-06-07 15:15:00,803.85,805.95,803.58,803.85,804512
2023-06-08 09:15:00,803.47,809.47,803.17,808.97,0
2023-06-08 10:15:00,809.0,811.72,808.97,811.22,3350310
2023-06-08 11:15:00,811.22,812.97,808.08,809.67,3906661
2023-06-08 12:15:00,809.72,809.85,806.95,807.67,1925076
2023-06-08 13:15:00,807.65,810.28,806.92,808.45,2679876
2023-06-08 14:15:00,808.45,809.42,803.1,803.38,3048788
2023-06-08 15:15:00,803.33,805.42,802.6,804.4,907529
2023-06-09 09:15:00,807.58,808.0,803.5,807.05,1982799
2023-06-09 10:15:00,807.28,807.38,805.17,806.5,621930
