Datetime,Open,High,Low,Close,Volume
2023-11-27 04:30:00,24.38,24.49,24.33,24.39,3418
2023-11-27 05:30:00,24.4,24.42,24.32,24.33,1094
2023-11-27 06:30:00,24.34,24.88,24.34,24.67,12337
2023-11-27 07:30:00,24.67,24.73,24.58,24.72,2221
2023-11-27 08:30:00,24.72,24.74,24.61,24.68,1486
2023-11-27 09:30:00,24.68,24.72,24.65,24.71,346
2023-11-27 10:30:00,24.71,24.75,24.68,24.75,637
2023-11-27 11:30:00,24.75,24.76,24.63,24.67,1194
2023-11-27 12:30:00,24.67,24.75,24.67,24.72,1722
2023-11-27 13:30:00,24.72,24.85,24.68,24.83,4473
2023-11-27 14:30:00,24.83,24.87,24.78,24.79,2389
2023-11-27 15:30:00,24.8,24.86,24.76,24.84,1353
2023-11-27 16:30:00,24.84,24.85,24.81,24.81,1103
2023-11-27 17:30:00,24.82,24.83,24.75,24.8,2955
2023-11-27 18:30:00,24.8,24.93,24.75,24.86,7924
2023-11-27 19:30:00,24.85,24.92,24.75,24.8,5306
2023-11-27 20:30:00,24.8,24.85,24.67,24.68,8963
2023-11-27 21:30:00,24.68,24.75,24.63,24.74,5361
2023-11-27 22:30:00,24.74,24.74,24.62,24.68,4261
2023-11-27 23:30:00,24.68,24.72,24.67,24.69,4868
2023-11-28 00:30:00,24.68,24.72,24.67,24.7,1271
2023-11-28 01:30:00,24.69,24.7,24.67,24.69,807
2023-11-28 02:30:00,24.69,24.71,24.69,24.69,813
2023-11-28 04:30:00,24.7,24.71,24.67,24.71,0
2023-11-28 05:30:00,24.7,24.78,24.7,24.77,917
2023-11-28 06:30:00,24.76,24.78,24.61,24.68,1695
2023-11-28 07:30:00,24.68,24.74,24.63,24.65,1089
2023-11-28 08:30:00,24.65,24.69,24.63,24.63,941
2023-11-28 09:30:00,24.64,24.67,24.61,24.66,420
2023-11-28 10:30:00,24.66,24.67,24.58,24.67,976
2023-11-28 11:30:00,24.67,24.7,24.64,24.68,1910
2023-11-28 12:30:00,24.68,24.7,24.6,24.64,1507
2023-11-28 13:30:00,24.64,24.69,24.62,24.68,1727
2023-11-28 14:30:00,24.68,24.74,24.66,24.73,1220
2023-11-28 15:30:00,24.73,24.74,24.67,24.69,913
2023-11-28 16:30:00,24.69,24.78,24.68,24.72,1288
2023-11-28 17:30:00,24.72,24.74,24.67,24.71,2888
2023-11-28 18:30:00,24.7,24.8,24.59,24.79,7580
2023-11-28 19:30:00,24.79,24.87,24.7,24.81,10821
2023-11-28 20:30:00,24.81,24.93,24.74,24.92,6833
2023-11-28 21:30:00,24.92,25.03,24.9,25.03,5477
2023-11-28 22:30:00,25.03,25.04,24.93,24.94,2853
2023-11-28 23:30:00,24.94,24.98,24.92,24.96,3575
2023-11-29 00:30:00,24.97,25.05,24.96,25.03,1684
2023-11-29 01:30:00,25.03,25.07,24.98,25.06,1013
2023-11-29 02:30:00,25.06,25.07,25.04,25.05,0
2023-11-29 04:30:00,25.05,25.12,25.05,25.11,123
2023-11-29 05:30:00,25.11,25.16,25.11,25.16,43
2023-11-29 06:30:00,25.16,25.23,25.12,25.19,472
2023-11-29 07:30:00,25.2,25.2,25.08,25.08,237
2023-11-29 08:30:00,25.09,25.09,24.99,25.02,148
2023-11-29 09:30:00,25.02,25.03,25.0,25.02,46
2023-11-29 10:30:00,25.06,25.11,25.0,25.03,88
2023-11-29 11:30:00,25.0,25.01,24.94,24.95,480
2023-11-29 12:30:00,24.94,24.96,24.9,24.93,184
2023-11-29 13:30:00,24.93,25.38,24.92,25.35,18716
2023-11-29 14:30:00,25.35,25.39,24.85,25.33,1812
2023-11-29 15:30:00,25.33,25.35,24.92,25.33,1122
2023-11-29 16:30:00,25.33,25.39,24.94,25.39,1316
2023-11-29 17:30:00,25.38,25.41,24.97,25.36,1547
