Datetime,Open,High,Low,Close,Volume
2026-01-19 10:00:00,88.54,93.19,88.54,93.11,41
2026-01-19 10:05:00,93.09,93.13,92.94,92.96,142
2026-01-19 10:10:00,92.99,93.09,92.94,93.09,100
2026-01-19 10:15:00,93.06,93.11,93.01,93.07,93
2026-01-19 10:20:00,93.07,93.14,93.05,93.07,84
2026-01-19 10:25:00,93.08,93.08,92.84,92.86,255
2026-01-20 10:30:00,94.07,94.17,93.96,94.03,332
2026-01-20 10:35:00,94.03,94.22,93.96,94.04,350
2026-01-20 10:40:00,94.03,94.14,94.0,94.1,116
2026-01-20 10:45:00,94.1,94.14,94.0,94.07,279
2026-01-20 10:50:00,94.06,94.19,93.94,93.96,452
2026-01-20 10:55:00,93.96,94.1,93.92,94.04,303
2026-01-20 11:00:00,94.01,94.35,94.0,94.35,602
2026-01-20 11:05:00,94.35,94.44,94.26,94.38,381
2026-01-20 11:10:00,94.38,94.43,94.11,94.32,607
2026-01-20 11:15:00,94.31,94.39,94.21,94.25,199
2026-01-20 11:20:00,94.25,94.32,94.12,94.31,160
2026-01-20 11:25:00,94.33,94.41,94.26,94.28,235
2026-01-20 11:30:00,94.25,94.26,94.0,94.11,344
2026-01-20 11:35:00,94.11,94.32,94.04,94.07,192
2026-01-20 11:40:00,94.11,94.22,94.01,94.17,149
2026-01-20 11:45:00,94.2,94.21,93.86,94.04,426
2026-01-20 11:50:00,94.04,94.1,93.69,93.75,404
2026-01-20 11:55:00,93.75,93.92,93.6,93.89,428
2026-01-20 12:00:00,93.88,93.94,93.25,93.28,720
2026-01-20 12:05:00,93.27,93.5,93.15,93.33,743
2026-01-20 12:10:00,93.32,93.6,93.12,93.56,381
2026-01-20 12:15:00,93.53,93.74,93.48,93.72,239
2026-01-20 12:20:00,93.75,93.85,93.68,93.75,237
2026-01-20 12:25:00,93.79,93.79,93.7,93.72,139
2026-01-20 12:30:00,93.69,94.07,93.68,93.93,429
2026-01-20 12:35:00,93.92,94.07,93.85,94.03,206
2026-01-20 12:40:00,94.03,94.2,93.99,94.19,329
2026-01-20 12:45:00,94.18,94.25,94.14,94.21,254
2026-01-20 12:50:00,94.19,94.24,94.07,94.2,199
2026-01-20 12:55:00,94.19,94.21,94.03,94.11,283
2026-01-20 13:00:00,94.11,94.24,94.0,94.22,214
2026-01-20 13:05:00,94.21,94.34,94.21,94.29,266
2026-01-20 13:10:00,94.29,94.46,94.28,94.35,336
2026-01-20 13:15:00,94.33,94.35,94.2,94.27,289
2026-01-20 13:20:00,94.25,94.35,94.18,94.18,251
2026-01-20 13:25:00,94.2,94.24,94.1,94.18,154
2026-01-20 13:30:00,94.15,94.35,94.1,94.35,177
2026-01-20 13:35:00,94.36,94.5,94.25,94.44,222
2026-01-20 13:40:00,94.46,94.69,94.43,94.66,461
2026-01-20 13:45:00,94.67,94.72,94.52,94.53,309
2026-01-20 13:50:00,94.54,94.54,94.4,94.46,224
2026-01-20 13:55:00,94.46,94.61,94.4,94.56,236
2026-01-20 14:00:00,94.58,94.86,94.57,94.81,667
2026-01-20 14:05:00,94.81,94.81,94.48,94.61,228
2026-01-20 14:10:00,94.64,94.85,94.61,94.7,276
2026-01-20 14:15:00,94.71,94.92,94.7,94.86,341
2026-01-20 14:20:00,94.87,95.1,94.83,95.04,659
2026-01-20 14:25:00,95.03,95.32,95.0,95.28,693
